FID,ogc_fid,company,address,city,state,zip_code,feedstock,capacity (Mgal),,
ethanol_plants_201904.177,177,"Show Me Ethanol, LLC",26530 E. Highway 24,Carrollton,MO,64633,Corn,60,,
ethanol_plants_201904.55,55,"Ergon Biofuels, LLC",1833 Haining Rd.,Vicksburg,MS,39183,corn,57,,
ethanol_plants_201904.23,23,Blue Flint Ethanol,2841 Third Street SW,Underwood,ND,58576,Corn,70,,
ethanol_plants_201904.47,47,Dakota Spirit AgEnergy LLC,3361 93rd Ave Se,Spiritwood,ND,58481,Corn,65,,
ethanol_plants_201904.93,93,"Guardian Hankinson, LLC",9230 County Road 1,"Hankinson, ND",ND,58041,Corn,132,,
ethanol_plants_201904.121,121,"New Energy Spirit Biomass Refinery, LLC",,Jamestown,ND,58401,wheat straw,,,
ethanol_plants_201904.171,171,"Red River BioRefinery, LLC",,Grand Forks,ND,,waste sugars/starch,0,,
ethanol_plants_201904.173,173,"Red Trail Energy, LLC",3682 Hwy 8 South,Richardton,ND,58652,Corn,50,,
ethanol_plants_201904.186,186,Tharaldson Ethanol,3549 153rd Ave. SE,"Casselton, ND",ND,58012,Corn,153,,
ethanol_plants_201904.14,14,Archer Daniels Midland Co.,3000 East 8th St,Columbus,NE,68601,Corn,100,,
ethanol_plants_201904.15,15,Archer Daniels Midland Co.,3000 East 8th St,Columbus,NE,68601,Corn,313,,
ethanol_plants_201904.25,25,Bridgeport Ethanol,9216 County Rd 90,Bridgeport,NE,69336,Corn,50,,
ethanol_plants_201904.32,32,"Cargill, Inc.",650 Industrial Road,Blair,NE,68008,Corn,210,,
ethanol_plants_201904.38,38,Chief Ethanol Fuels Inc.,4225 E. South Street,Hastings,NE,68901,Corn,70,,
ethanol_plants_201904.39,39,Chief Ethanol Fuels Inc.,1111 East Industry Drive,Lexington,NE,68850,Corn,50,,
ethanol_plants_201904.51,51,"E Energy Adams, LLC",13238 East Aspen Road,Adams,NE,68301,Corn,80,,
